pref_name_for_society	Long	Lat	region	moral_gods	social_complexity	subsistence
Dorobo	36	0	East Tropical Africa	1	1	hunter-gatherer
Mbuti	28	2	West-Central Tropical Africa	1	1	hunter-gatherer
Sandawe	36	-5	East Tropical Africa	2	2	farmer
Hadza	35	-3	East Tropical Africa	1	1	hunter-gatherer
Suku	18	-6	West-Central Tropical Africa	2	4	farmer
Lele	21	-5	West-Central Tropical Africa	1	2	farmer
Buye	28	-7	West-Central Tropical Africa	2	3	farmer
Kuba	22	-5	West-Central Tropical Africa	2	3	farmer
Mambwe	32	9	Northeast Tropical Africa	2	2	farmer
Bena	36	-9	East Tropical Africa	4	3	farmer
Kiga	30	-3	West-Central Tropical Africa	2	1	farmer
Luguru	38	-8	East Tropical Africa	2	1	farmer
Safwa	33	-8	East Tropical Africa	2	2	farmer
Fipa	31	-8	East Tropical Africa	2	3	farmer
Nyoro	32	2	East Tropical Africa	2	4	farmer
Nyamwezi	33	-5	East Tropical Africa	2	3	farmer
Pimbwe	31	-7	East Tropical Africa	2	3	farmer
Sukuma	34	-3	East Tropical Africa	2	3	farmer
Zigula	38.79	-5.84	East Tropical Africa	2	1	farmer
Hadimu	39.43	-6.07	East Tropical Africa	4	4	farmer
Chagga	37	-3	East Tropical Africa	1	2	farmer
Digo	39	-4	East Tropical Africa	4	2	farmer
Giriama	40	-3	East Tropical Africa	1	4	farmer
Kamba	38	-2	East Tropical Africa	2	2	farmer
Kikuyu	37	-1	East Tropical Africa	3	1	farmer
Haya	32	-1	East Tropical Africa	2	3	farmer
Konjo	30	-1	East Tropical Africa	2	1	farmer
Nyankole	31	0	East Tropical Africa	2	4	farmer
Sumbwa	32	-4	East Tropical Africa	2	3	farmer
Toro	31	1	East Tropical Africa	2	4	farmer
Zinza	31	-3	East Tropical Africa	2	4	farmer
Kaguru	37	-6	East Tropical Africa	2	2	farmer
Ngulu	38	-6	East Tropical Africa	2	1	farmer
Nyakyusa	34	-9	East Tropical Africa	2	3	farmer
Ganda	32	1	East Tropical Africa	2	4	farmer
Gisu	34	1	East Tropical Africa	2	2	farmer
Amba	30	1	West-Central Tropical Africa	1	1	farmer
Banyaruanda	30	-2	West-Central Tropical Africa	2	4	farmer
Songola	26	-4	West-Central Tropical Africa	2	2	hunter-gatherer
Duala	10	4	West-Central Tropical Africa	2	3	farmer
Ha	30	-5	East Tropical Africa	2	3	farmer
Rega	28	-3	West-Central Tropical Africa	2	2	farmer
Songye	25	-6	West-Central Tropical Africa	2	1	farmer
Kpe	9.27	4.22	West-Central Tropical Africa	2	1	farmer
Fang	11	1	West-Central Tropical Africa	2	1	farmer
Ngombe	20	2	West-Central Tropical Africa	1	2	farmer
Nkundo	20	0	West-Central Tropical Africa	2	3	farmer
Bamum	11	6	West-Central Tropical Africa	3	4	farmer
Banen	11	5	West-Central Tropical Africa	2	1	farmer
Nsaw	11	6	West-Central Tropical Africa	3	3	farmer
Luba	26	-8	West-Central Tropical Africa	2	4	farmer
Baboa	25	3	West-Central Tropical Africa	1	3	farmer
Rundi	30	-3	West-Central Tropical Africa	2	4	farmer
Fut	10	6	West-Central Tropical Africa	3	2	farmer
Fon	2	7	West Tropical Africa	1	4	farmer
Igbo	7	6	West Tropical Africa	2	2	farmer
Toma	-9	11	West Tropical Africa	2	2	farmer
Ebira	7	8	West Tropical Africa	2	2	farmer
Sherbro	-12.69	7.52	West Tropical Africa	2	3	farmer
Kpelle	-9	7	West Tropical Africa	2	2	farmer
Efik	8	5	West Tropical Africa	2	2	farmer
Ibibio	8	5	West Tropical Africa	2	2	farmer
Itsekiri	5	6	West Tropical Africa	2	2	hunter-gatherer
Afikpo	8	6	West Tropical Africa	1	2	farmer
Edo	6	6	West Tropical Africa	2	4	farmer
Isoko	6	5	West Tropical Africa	2	2	farmer
Gbagyi	10	10	West Tropical Africa	3	2	farmer
Ashanti	-2	7	West Tropical Africa	2	3	farmer
Egba	3	7	West Tropical Africa	2	3	farmer
Ekiti	5	8	West Tropical Africa	2	3	farmer
Ife	5	7	West Tropical Africa	2	4	farmer
Ewe	1	7	West Tropical Africa	2	3	farmer
Yako	8	6	West Tropical Africa	1	1	farmer
Fante	-1	6	West Tropical Africa	2	2	farmer
