society	region	hierarchy_of_larger_community	high_gods
!Kung	Southern Africa	1	3
Dorobo	East Tropical Africa	1	1
Nama	Southern Africa	2	1
Mbuti	West-Central Tropical Africa	1	1
Sandawe	East Tropical Africa	2	2
Naron	Southern Africa	1	2
Hadza	East Tropical Africa	1	1
Pondo Xhosa	Southern Africa	3	1
Tswana	Southern Africa	3	4
Lovedu	Southern Africa	3	2
Shona	South Tropical Africa	3	4
Swazi	Southern Africa	4	1
Lozi	South Tropical Africa	4	2
Mbundu	South Tropical Africa	3	2
Venda	Southern Africa	3	3
Sotho	Southern Africa	4	1
Ndebele	South Tropical Africa	4	2
Ila	South Tropical Africa	2	2
Chewa	South Tropical Africa	3	1
Luvale	South Tropical Africa	2	2
Tonga	South Tropical Africa	1	2
Suku	West-Central Tropical Africa	4	2
Lele	West-Central Tropical Africa	2	1
Luchazi	South Tropical Africa	2	2
Bemba	South Tropical Africa	3	3
Plateau Tonga	South Tropical Africa	1	3
Buye	West-Central Tropical Africa	3	2
Lala	South Tropical Africa	2	2
Luapula	South Tropical Africa	3	3
Tumbuka	South Tropical Africa	3	3
Kuba	West-Central Tropical Africa	3	2
Mambwe	Northeast Tropical Africa	2	2
Lamba	South Tropical Africa	3	2
Yao	South Tropical Africa	2	1
Ngoni	South Tropical Africa	4	1
Bena	East Tropical Africa	3	4
Kiga	West-Central Tropical Africa	1	2
Luguru	East Tropical Africa	1	2
Iwa	South Tropical Africa	3	2
Ngonde	South Tropical Africa	3	1
Safwa	East Tropical Africa	2	2
Fipa	East Tropical Africa	3	2
Nyoro	East Tropical Africa	4	2
Nyamwezi	East Tropical Africa	3	2
Pimbwe	East Tropical Africa	3	2
Sukuma	East Tropical Africa	3	2
Zigula	East Tropical Africa	1	2
Hadimu	East Tropical Africa	4	4
Chagga	East Tropical Africa	2	1
Digo	East Tropical Africa	2	4
Giriama	East Tropical Africa	4	1
Kamba	East Tropical Africa	2	2
Kikuyu	East Tropical Africa	1	3
Haya	East Tropical Africa	3	2
Konjo	East Tropical Africa	1	2
Nyankole	East Tropical Africa	4	2
Sumbwa	East Tropical Africa	3	2
Toro	East Tropical Africa	4	2
Zinza	East Tropical Africa	4	2
Kaguru	East Tropical Africa	2	2
Ngulu	East Tropical Africa	1	2
Nyakyusa	East Tropical Africa	3	2
Ganda	East Tropical Africa	4	2
Gisu	East Tropical Africa	2	2
Amba	West-Central Tropical Africa	1	1
Banyaruanda	West-Central Tropical Africa	4	2
Songola	West-Central Tropical Africa	2	2
Duala	West-Central Tropical Africa	3	2
Ha	East Tropical Africa	3	2
Rega	West-Central Tropical Africa	2	2
Songye	West-Central Tropical Africa	1	2
Kpe	West-Central Tropical Africa	1	2
Ngala	West-Central Tropical Africa	2	2
Fang	West-Central Tropical Africa	1	2
Ngombe	West-Central Tropical Africa	2	1
Nkundo	West-Central Tropical Africa	3	2
Bamum	West-Central Tropical Africa	4	3
Banen	West-Central Tropical Africa	1	2
Nsaw	West-Central Tropical Africa	3	3
Luba	West-Central Tropical Africa	4	2
Baboa	West-Central Tropical Africa	3	1
Rundi	West-Central Tropical Africa	4	2
Fut	West-Central Tropical Africa	2	3
Fon	West Tropical Africa	4	1
Igbo	West Tropical Africa	2	2
Toma	West Tropical Africa	2	2
Ebira	West Tropical Africa	2	2
Sherbro	West Tropical Africa	3	2
Kpelle	West Tropical Africa	2	2
Efik	West Tropical Africa	2	2
Ibibio	West Tropical Africa	2	2
Itsekiri	West Tropical Africa	2	2
Afikpo	West Tropical Africa	2	1
