subject	artist	word	ink	response	rt	stimulus_congruent	response_correct
S01	FALSE	blue	blue	blue	447.9499831718015	TRUE	TRUE
S01	FALSE	blue	blue	blue	447.9499831718015	TRUE	TRUE
S01	FALSE	blue	blue	blue	532.8689859541932	TRUE	TRUE
S01	FALSE	blue	blue	blue	532.8689859541932	TRUE	TRUE
S01	FALSE	blue	blue	blue	502.0844720564552	TRUE	TRUE
S01	FALSE	blue	blue	blue	502.0844720564552	TRUE	TRUE
S01	FALSE	blue	blue	blue	601.9779684065014	TRUE	TRUE
S01	FALSE	blue	blue	blue	601.9779684065014	TRUE	TRUE
S01	FALSE	blue	blue	blue	616.4057958962823	TRUE	TRUE
S01	FALSE	blue	blue	blue	616.4057958962823	TRUE	TRUE
S01	FALSE	blue	purple	purple	627.4665283468638	FALSE	FALSE
S01	FALSE	blue	purple	purple	627.4665283468638	FALSE	FALSE
S01	FALSE	blue	purple	purple	576.0297641063171	FALSE	FALSE
S01	FALSE	blue	purple	purple	576.0297641063171	FALSE	FALSE
S01	FALSE	blue	purple	purple	694.5274697459606	FALSE	FALSE
S01	FALSE	blue	purple	blue	694.5274697459606	FALSE	TRUE
S01	FALSE	blue	purple	blue	556.1658260310461	FALSE	TRUE
S01	FALSE	blue	purple	purple	556.1658260310461	FALSE	FALSE
S01	FALSE	blue	purple	purple	708.2713105914686	FALSE	FALSE
S01	FALSE	blue	purple	purple	708.2713105914686	FALSE	FALSE
S01	FALSE	blue	green	green	706.719641623347	FALSE	FALSE
S01	FALSE	blue	green	green	706.719641623347	FALSE	FALSE
S01	FALSE	blue	green	green	629.5011468147945	FALSE	FALSE
S01	FALSE	blue	green	green	629.5011468147945	FALSE	FALSE
S01	FALSE	blue	green	green	696.50738556104	FALSE	FALSE
S01	FALSE	blue	green	green	696.50738556104	FALSE	FALSE
S01	FALSE	blue	green	green	488.4806283915352	FALSE	FALSE
S01	FALSE	blue	green	green	488.4806283915352	FALSE	FALSE
S01	FALSE	blue	green	green	586.834014646881	FALSE	FALSE
S01	FALSE	blue	green	green	586.834014646881	FALSE	FALSE
S01	FALSE	blue	red	red	565.5973160037373	FALSE	FALSE
S01	FALSE	blue	red	red	565.5973160037373	FALSE	FALSE
S01	FALSE	blue	red	red	547.0104221201373	FALSE	FALSE
S01	FALSE	blue	red	red	547.0104221201373	FALSE	FALSE
S01	FALSE	blue	red	red	631.7989827937351	FALSE	FALSE
S01	FALSE	blue	red	red	631.7989827937351	FALSE	FALSE
S01	FALSE	blue	red	red	523.7473521931788	FALSE	FALSE
S01	FALSE	blue	red	red	523.7473521931788	FALSE	FALSE
S01	FALSE	blue	red	NA	NA	FALSE	NA
S01	FALSE	blue	red	red	584.1900143052873	FALSE	FALSE
