word	lfpm10r	FALSE	TRUE
abszint	-0.659	111	442
adszorbens	-1.303	317	236
aggófű	-1.365	420	133
alfél	-2.365	213	340
alkalom	1.587	8	545
anorák	-1.335	138	415
arzénsav	-2.408	98	455
ausztrál	1.198	14	539
bacon	0.189	60	493
bajadér	-1.417	395	158
bajuszfű	-2.967	220	333
balközép	-0.179	33	520
barát	1.221	5	548
beton	1.056	9	544
biliárd	-0.011	25	528
bizmut	-0.988	337	216
bolgár	1.03	27	526
ború	-0.485	33	520
bárányfark	-3.092	148	405
bélyeg	0.274	6	547
cianid	-0.711	212	341
csapattest	-1.301	150	403
csapdáz	-3.268	155	398
csatázik	-0.489	12	541
csengettyű	-0.622	6	547
csontdarab	-1.165	19	534
csüggedez	-2.756	77	476
csüggeszt	-1.753	36	517
cugehőr	-2.916	441	112
darab	2.044	7	546
derít	0.012	22	531
diffamál	-3.393	501	52
diktátor	0.599	12	541
dipeptid	-1.46	264	289
diviz	-2.569	473	80
dolgozik	1.948	8	545
dolog	2.387	10	543
donhuán	-2.472	236	317
dádá	-1.428	188	365
délceg	-0.228	41	512
döföl	-2.724	379	174
elegy	-1.266	69	484
ellenfél	1.362	11	542
eszköz	1.983	11	542
extrém	1.384	9	544
fajansz	-0.829	197	356
farkasbab	-2.154	218	335
fertilis	-1.185	294	259
forgórész	-0.244	57	496
forrpont	-1.542	202	351
fürkész	-0.829	13	540
gazdag	1.977	7	546
genom	0.016	193	360
gerencsér	-1.63	164	389
glosszáz	-3.569	368	185
glükóz	0.41	47	506
grafikon	0.471	20	533
gyapot	-0.198	10	543
gyülemlik	-1.145	16	537
gyűjtemény	1.112	10	543
hajlik	0.575	11	542
hatalom	1.658	7	546
heveny	0.516	86	467
hidegház	-2.509	85	468
hidroxid	-0.536	40	513
horizont	0.296	12	541
hálózsák	-0.037	5	548
hübrisz	-0.863	385	168
időszak	1.939	9	544
ifjít	-3.092	254	299
igény	1.885	9	544
infimum	-2.339	497	56
ingváll	-1.276	191	362
ion	0.155	55	498
irány	1.373	9	544
iszlám	1.246	22	531
jármű	1.595	4	549
kalcium	1.004	21	532
kanalaz	-1.325	28	525
karakter	1.43	11	542
kencéz	-3.569	139	414
keresztény	1.817	6	547
kettősfém	-2.756	91	462
kislány	1.415	4	549
kitin	-0.946	79	474
koenzim	0.003	211	342
kollapszus	-1.065	373	180
komoly	2.29	6	547
komplex	1.745	23	530
komál	-2.031	72	481
kondenzcsík	-1.009	102	451
kontrapunkt	-1.743	392	161
konverzál	-2.967	137	416
krakéler	-1.411	467	86
kulcscsont	-0.536	14	539
kurtít	-2.237	145	408
kurzivál	-3.092	380	173
kurzív	-0.736	318	235
kvéker	-1.672	418	135
káder	-0.593	224	329
kárpit	0.194	13	540
könnyelmű	0.019	16	537
kötődik	1.137	10	543
közhely	0.426	11	542
kúpol	-1.906	245	308
lakotthely	-2.472	138	415
lalláz	-3.268	409	144
lazúroz	-3.569	208	345
lejmol	-2.031	180	373
libling	-1.946	305	248
luftballon	-1.821	59	494
lukaszt	-2.591	55	498
lágyék	-0.685	52	501
látszik	2.055	8	545
lélek	1.694	7	546
lépték	0.16	43	510
magmatit	-2.666	412	141
mellényzseb	-1.973	18	535
mimézis	-1.054	403	150
mítosz	0.619	12	541
móringol	-2.967	467	86
nagybeteg	-0.276	44	509
nagyszámú	0.902	12	541
neoprén	-0.057	230	323
nimbus	-2.756	241	312
nukleon	-1.266	149	404
nyersarany	-2.548	52	501
nárcisz	-0.25	9	544
népszerű	1.814	7	546
olaj	1.54	6	547
orront	-2.057	335	218
orális	0.569	50	503
pauzál	-3.092	231	322
pereg	0.061	12	541
petél	-3.092	330	223
piktogram	-0.278	40	513
piláf	-1.262	385	168
pohár	1.388	5	548
profit	0.862	14	539
puritán	0.459	86	467
példakép	0.329	8	545
püffeszt	-3.87	105	448
rakódik	0.094	26	527
reagál	1.189	10	543
referál	-0.432	88	465
reform	0.936	27	526
rejtőzik	0.612	6	547
rekvizit	-1.973	343	210
rotor	-0.054	215	338
rámáz	-3.171	251	302
régész	0.538	5	548
rövid	2.339	11	542
rücsök	-1.879	123	430
selypít	-1.452	26	527
skubizik	-3.171	118	435
sporthorgász	-0.907	24	529
sugár	0.422	14	539
svábtök	-3.87	215	338
szalicil	-0.79	120	433
szegény	1.681	7	546
szempont	1.61	10	543
szilikát	-0.363	142	411
sziszeg	-0.745	14	539
szokik	-0.316	60	493
század	2.036	6	547
százalék	1.899	9	544
színpad	1.058	8	545
sárgaréz	-0.031	22	531
tangózik	-1.78	23	530
tarol	-0.219	41	512
tartalom	1.71	5	548
templomoz	-3.092	222	331
tenger	1.456	11	542
testnedv	-0.969	14	539
transzplantál	-3.092	52	501
tropikus	-0.563	163	390
truccol	-2.694	413	140
turné	0.819	41	512
tábornagy	-0.321	22	531
tököl	-1.12	27	526
töredék	0.316	7	546
törköly	-0.572	130	423
törékeny	0.894	7	546
törődik	0.7	10	543
türemlik	-2.393	191	362
vabank	-2.247	499	54
viszkóz	-0.61	109	444
viszkózus	-0.482	141	412
viszonvád	-2.163	307	246
változik	1.765	6	547
végbél	0.305	10	543
áradmány	-2.64	283	270
árstop	-2.365	202	351
árus	-0.422	20	533
égitest	0.434	7	546
ómagyar	-0.441	15	538
örmény	0.795	38	515
újgazdag	-0.337	27	526
űrlap	1.015	13	540
