x	a	b
9.778584118466824	77	1
5.6312281847931445	5	1
8.20772687671706	47	1
7.458753762766719	98	1
2.8905278630554676	0	1
6.405583929736167	8	1
2.496948246844113	1	1
6.31332196528092	5	1
2.2646023891866207	8	1
4.597590519115329	6	1
9.464510870166123	23	1
9.86085718497634	28	1
2.4753790465183556	1	1
8.281030314974487	25	1
2.5935784727334976	0	1
5.626087954733521	5	1
1.6332074557431042	0	1
1.4483270212076604	1	1
4.837986298371106	4	1
9.092902261763811	27	1
4.213906668592244	1	1
5.586105885449797	5	1
7.322525503113866	16	1
6.010027437005192	5	1
4.3010405683889985	2	1
4.273082676809281	2	1
1.1344005423597991	1	1
8.323123047593981	6	1
4.12973390892148	2	1
4.453783372882754	0	1
1.8395102815702558	1	1
1.1747625516727567	0	1
6.3374056201428175	70	1
1.6591759980656207	0	1
8.2911366247572	13	1
7.4222785490565	24	1
2.8884289762936532	3	1
2.8786063636653125	11	1
7.781286353711039	32	1
7.923374513629824	25	1
2.0842550648376346	2	1
0.5998735874891281	0	1
3.7581816036254168	0	1
7.015553929377347	29	1
4.2655579233542085	2	1
3.9934418722987175	1	1
8.85247475001961	78	1
0.32998316222801805	1	1
5.828198723029345	24	1
3.9825380709953606	2	1
1.5620647836476564	8	1
8.495358165819198	5	1
2.540811870712787	22	1
2.669249288737774	0	1
4.442424303852022	13	1
7.927428020630032	28	1
8.571217986755073	22	1
8.299669520929456	20	1
6.331108135636896	3	1
1.304898983798921	1	1
4.968683214392513	2	1
0.7883881265297532	0	1
0.16682498157024384	1	1
1.1972194141708314	1	1
0.5653218808583915	1	1
1.726150936447084	2	1
6.481623938307166	4	1
5.3243955271318555	41	1
1.6798163461498916	2	1
6.560307973995805	4	1
6.0664729960262775	35	1
2.1414534421637654	6	1
2.6645738631486893	2	1
9.037864017300308	5	1
6.999297738075256	15	1
7.441501610446721	4	1
9.74454146111384	120	1
4.73002788843587	1	1
1.483186180703342	1	1
0.18267050851136446	0	1
8.191483842674643	10	1
3.4374035708606243	2	1
9.615936449263245	125	1
9.108532527461648	9	1
5.8092062547802925	5	1
9.517747485078871	11	1
7.6702166511677206	9	1
5.037426433991641	1	1
9.04436772922054	56	1
5.028759751003236	5	1
9.793075134512037	47	1
2.890398201998323	1	1
4.553039474412799	8	1
6.727454024367034	11	1
0.8593025058507919	0	1
2.4578783055767417	0	1
4.798859879374504	9	1
3.509490059223026	3	1
8.31427494995296	45	1
6.924230025615543	9	1
