maths	high_school
56	eotvos
53	eotvos
56	eotvos
52	eotvos
51	eotvos
50	eotvos
55	eotvos
58	eotvos
41	eotvos
49	eotvos
55	eotvos
58	eotvos
50	eotvos
55	eotvos
55	eotvos
48	eotvos
51	eotvos
47	eotvos
54	eotvos
57	eotvos
54	eotvos
50	eotvos
59	eotvos
52	eotvos
56	eotvos
36	fasor
41	fasor
32	fasor
38	fasor
37	fasor
37	fasor
40	fasor
34	fasor
34	fasor
38	fasor
34	fasor
36	fasor
35	fasor
30	fasor
37	fasor
42	fasor
34	fasor
37	fasor
32	fasor
33	fasor
36	fasor
34	fasor
37	fasor
29	fasor
37	fasor
58	fazekas
67	fazekas
55	fazekas
61	fazekas
56	fazekas
70	fazekas
63	fazekas
64	fazekas
62	fazekas
62	fazekas
70	fazekas
70	fazekas
57	fazekas
54	fazekas
57	fazekas
68	fazekas
61	fazekas
64	fazekas
62	fazekas
62	fazekas
60	fazekas
54	fazekas
55	fazekas
63	fazekas
57	fazekas
40	teleki
39	teleki
32	teleki
36	teleki
30	teleki
34	teleki
36	teleki
35	teleki
37	teleki
40	teleki
35	teleki
36	teleki
30	teleki
34	teleki
40	teleki
40	teleki
38	teleki
40	teleki
40	teleki
36	teleki
33	teleki
44	teleki
36	teleki
36	teleki
36	teleki
41	verespalne
41	verespalne
40	verespalne
38	verespalne
50	verespalne
38	verespalne
42	verespalne
40	verespalne
45	verespalne
38	verespalne
46	verespalne
41	verespalne
40	verespalne
37	verespalne
34	verespalne
38	verespalne
36	verespalne
38	verespalne
37	verespalne
48	verespalne
35	verespalne
49	verespalne
33	verespalne
43	verespalne
41	verespalne
