participant	word	word_familiarity	participant_age	participant_vocabulary_size	resp.rt
p1	törődik	50	60	40	0.5258000000007428
p1	ellenfél	50	60	40	0.623800000000756
p1	pohár	50	60	40	0.6271999999992488
p1	extrém	50	60	40	0.5943000000007714
p1	eszköz	49	60	40	0.939200000001108
p1	időszak	49	60	40	0.5974999999999966
p1	alkalom	49	60	40	0.661199999999269
p1	szegény	49	60	40	0.5974000000003628
p1	közhely	48	60	40	0.6154000000003634
p1	tartalom	48	60	40	0.7058000000007496
p1	mítosz	48	60	40	0.7129000000003884
p1	rejtőzik	48	60	40	0.6713999999984992
p1	karakter	47	60	40	0.8007999999989011
p1	dolog	47	60	40	0.7158000000007405
p1	törékeny	47	60	40	0.6988999999985026
p1	barát	47	60	40	0.6552000000011162
p1	gazdag	46	60	40	0.5923999999985199
p1	kötődik	46	60	40	0.6101999999992813
p1	profit	46	60	40	0.6108000000007223
p1	példakép	46	60	40	0.6551999999992404
p1	hajlik	45	60	40	0.8224000000004139
p1	lélek	45	60	40	0.4910999999996193
p1	hatalom	45	60	40	0.612099999999657
p1	dolgozik	45	60	40	0.7732000000011112
p1	keresztény	44	60	40	0.6721000000014783
p1	jármű	44	60	40	0.578200000001118
p1	beton	44	60	40	0.7399000000003753
p1	gyűjtemény	44	60	40	0.6072999999988724
p1	irány	43	60	40	0.5687999999988733
p1	űrlap	43	60	40	0.7126000000014869
p1	könnyelmű	43	60	40	0.6545000000000414
p1	töredék	43	60	40	0.6199000000003707
p1	reagál	42	60	40	0.6050000000000182
p1	örmény	42	60	40	0.71550000000002
p1	százalék	42	60	40	0.6385000000000218
p1	végbél	42	60	40	0.47350000000000136
p1	égitest	41	60	40	0.6751999999992222
p1	ausztrál	41	60	40	0.63900000000001
p1	század	41	60	40	0.6556999999992854
p1	régész	41	60	40	1.0004000000003828
p1	hálózsák	40	60	40	0.6260000000000332
p1	bélyeg	40	60	40	0.7484000000004016
p1	nagyszámú	40	60	40	0.8264000000003762
p1	pereg	40	60	40	0.6048000000007505
p1	kárpit	39	60	40	0.8571000000014806
p1	balközép	39	60	40	0.6654000000003748
